dataset,rho,m,s,r,C_pk,g,proposed_bytes,proposed_rate_pct,b_B0,B0_feasible,B0_paper_bytes,B0_paper_rate_pct
FCT,0.001,5,475,5,480,2530,26826,0.09996863729026188,-20,False,,
FCT,0.0025,10,176,10,186,8064,67073,0.24995466642538447,-20,False,,
FCT,0.005,15,178,15,193,16438,134166,0.49997827416851554,-19,False,,
FCT,0.01,22,449,22,471,32734,268339,0.9999821684213287,-17,False,,
FCT,0.02,32,1235,32,1267,64915,536682,1.9999787772538073,-13,False,,
FCT,0.05,53,1490,53,1543,165071,1341708,4.999953697520378,-2,False,,
FCT,0.1,77,2422,77,2499,331151,2683433,9.999970280702215,16,True,2614570,9.743346007604563
AGNews,0.001,6,425,6,431,3027,29650,0.09999915348200843,-16,False,,
AGNews,0.0025,11,565,11,576,8358,74116,0.24996226081145123,-13,False,,
AGNews,0.005,17,386,17,403,17895,148242,0.4999611984482347,-8,False,,
AGNews,0.01,25,857,25,882,35675,296496,0.9999573874309818,2,True,285016,0.961239728633987
AGNews,0.02,37,882,37,919,72681,593013,1.9999851775036932,22,True,585016,1.9730142205579355
AGNews,0.05,61,2134,61,2195,181868,1482538,4.999983390035425,81,True,1470016,4.957748971733584
AGNews,0.1,89,3357,89,3446,365221,2965074,9.999955397607813,180,True,2955016,9.96603270675713
Adult,0.001,2,8,2,10,556,4585,0.09982226972338074,-16,False,,
Adult,0.0025,3,297,3,300,975,11472,0.24972028976674127,-15,False,,
Adult,0.005,6,30,6,36,2814,22966,0.49992490270002005,-13,False,,
Adult,0.01,9,161,9,170,5480,45927,0.9997273641500727,-9,False,,
Adult,0.02,13,790,13,803,10258,91870,1.9997785173833924,-1,False,,
Adult,0.05,23,460,23,483,27974,229698,4.99992653525002,21,True,225910,4.917463713855343
Adult,0.1,34,613,34,647,56437,459401,9.999942860750014,59,True,457909,9.967474162175339
Bank,0.001,2,58,2,60,550,5147,0.09998414938736216,-16,False,,
Bank,0.0025,4,83,4,87,1473,12864,0.24988753057944477,-14,False,,
Bank,0.005,6,284,6,290,2773,25734,0.4998843254923305,-12,False,,
Bank,0.01,9,672,9,681,5394,51471,0.9998269252958295,-7,False,,
Bank,0.02,14,906,14,920,11466,102956,1.9999063726067225,3,True,97837,1.900470972982864
Bank,0.05,25,181,25,206,31858,257390,4.999753791035313,33,True,252292,4.9007238834933355
Bank,0.1,36,1940,36,1976,61337,514794,9.999764960278288,83,True,509717,9.901145401010787
